epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0341,1.37207,2.94,1.25652,0.03952,0.53119,0.07701,0.04938,1.18965,2.80141,1.1892,0.000204613,0.000204613,0.000204613
2,46.6226,1.30705,1.79853,1.23561,0.48686,0.14694,0.14099,0.08276,1.25832,1.71848,1.26164,0.000408858,0.000408858,0.000408858
3,72.9971,1.29377,1.56699,1.21711,0.40852,0.29575,0.15237,0.08756,1.26947,1.23986,1.3182,0.000608978,0.000608978,0.000608978
4,95.5572,1.27328,1.4835,1.22578,0.43821,0.24537,0.17413,0.10512,1.24962,1.15785,1.23758,0.000606437,0.000606437,0.000606437
5,118.122,1.24466,1.40887,1.20006,0.41984,0.3641,0.29136,0.20461,1.23261,1.0506,1.24779,0.00060025,0.00060025,0.00060025
6,140.894,1.20694,1.37331,1.17983,0.3633,0.40114,0.28223,0.18173,1.22422,1.02932,1.2574,0.000594062,0.000594062,0.000594062
7,163.046,1.22796,1.32085,1.18658,0.33905,0.33358,0.21334,0.13655,1.2157,1.04892,1.23517,0.000587875,0.000587875,0.000587875
8,186.171,1.19945,1.23544,1.16774,0.44415,0.3164,0.19251,0.11814,1.21047,1.00469,1.21412,0.000581687,0.000581687,0.000581687
9,207.116,1.20575,1.27315,1.19377,0.35201,0.35833,0.23935,0.1539,1.21536,0.98042,1.23928,0.0005755,0.0005755,0.0005755
10,230.151,1.17406,1.21483,1.15998,0.4858,0.3453,0.25924,0.16964,1.23109,0.96093,1.26077,0.000569313,0.000569313,0.000569313
11,251.374,1.18524,1.16371,1.16008,0.53456,0.296,0.31094,0.21678,1.20527,0.93867,1.23817,0.000563125,0.000563125,0.000563125
12,273.753,1.18663,1.15602,1.17112,0.28206,0.41729,0.34177,0.24996,1.21662,0.90578,1.23862,0.000556938,0.000556938,0.000556938
13,295.159,1.19177,1.15642,1.16684,0.28382,0.49021,0.30051,0.19724,1.21003,0.91928,1.20974,0.00055075,0.00055075,0.00055075
14,317.366,1.1294,1.09751,1.14276,0.30479,0.41973,0.35286,0.23435,1.21287,0.97272,1.24621,0.000544563,0.000544563,0.000544563
15,338.306,1.1442,1.08576,1.14111,0.51489,0.32616,0.2698,0.17243,1.20222,0.89699,1.24926,0.000538375,0.000538375,0.000538375
16,360.722,1.12884,1.05184,1.14687,0.20413,0.36901,0.25454,0.16723,1.1833,0.92219,1.21428,0.000532187,0.000532187,0.000532187
17,381.66,1.16855,1.07879,1.15782,0.42569,0.39561,0.31604,0.21264,1.19729,0.8866,1.21653,0.000526,0.000526,0.000526
18,404.386,1.13901,1.03639,1.1525,0.32844,0.39067,0.29396,0.19091,1.20637,0.90519,1.2165,0.000519812,0.000519812,0.000519812
19,425.106,1.10823,0.99697,1.13279,0.29718,0.56964,0.36294,0.25966,1.16441,0.88841,1.21848,0.000513625,0.000513625,0.000513625
20,447.342,1.11904,1.01131,1.14321,0.23814,0.53744,0.31657,0.20794,1.17817,0.90893,1.19685,0.000507438,0.000507438,0.000507438
21,468.214,1.12494,0.98211,1.1276,0.27312,0.61121,0.41545,0.27478,1.18034,0.84621,1.20545,0.00050125,0.00050125,0.00050125
22,490.783,1.09397,0.96715,1.12562,0.35007,0.47804,0.37209,0.24852,1.21384,0.86015,1.21956,0.000495063,0.000495063,0.000495063
23,511.485,1.11738,0.96655,1.12234,0.24066,0.60126,0.31556,0.20089,1.1876,0.89178,1.2313,0.000488875,0.000488875,0.000488875
24,534.397,1.08462,0.94744,1.11306,0.30315,0.5938,0.38164,0.24685,1.22749,0.88005,1.26464,0.000482687,0.000482687,0.000482687
25,555.509,1.07719,0.92549,1.11195,0.43582,0.41986,0.36292,0.23199,1.18325,0.82301,1.20581,0.0004765,0.0004765,0.0004765
26,577.573,1.08667,0.93579,1.11019,0.48209,0.37115,0.34631,0.21835,1.19784,0.8627,1.22955,0.000470312,0.000470312,0.000470312
27,598.787,1.09438,0.9064,1.10845,0.41955,0.39732,0.3495,0.2302,1.17851,0.8373,1.20425,0.000464125,0.000464125,0.000464125
28,620.523,1.08918,0.91687,1.12,0.40224,0.5172,0.36325,0.24018,1.17645,0.895,1.21853,0.000457938,0.000457938,0.000457938
29,640.886,1.03716,0.87513,1.09746,0.27847,0.58815,0.35809,0.23629,1.18614,0.87194,1.20993,0.00045175,0.00045175,0.00045175
30,663.439,1.05273,0.87619,1.10481,0.37882,0.53369,0.40103,0.26264,1.17024,0.86642,1.19647,0.000445562,0.000445562,0.000445562
31,684.417,1.0754,0.87036,1.11903,0.28929,0.54726,0.38359,0.25085,1.18178,0.82556,1.18709,0.000439375,0.000439375,0.000439375
32,706.513,1.03936,0.84751,1.09621,0.43201,0.43769,0.38006,0.25592,1.20681,0.86017,1.21664,0.000433187,0.000433187,0.000433187
33,728.29,1.0562,0.8395,1.09811,0.44113,0.50079,0.4034,0.25672,1.18949,0.82923,1.21939,0.000427,0.000427,0.000427
34,750.18,1.0527,0.81639,1.10634,0.58725,0.36436,0.37879,0.24463,1.16846,0.81474,1.19947,0.000420812,0.000420812,0.000420812
35,770.755,1.0681,0.87461,1.11426,0.65159,0.33819,0.41075,0.28145,1.16204,0.7967,1.19352,0.000414625,0.000414625,0.000414625
36,792.871,1.03284,0.80447,1.09113,0.38335,0.42972,0.37742,0.24848,1.16378,0.8468,1.22035,0.000408438,0.000408438,0.000408438
37,815.48,1.02823,0.81539,1.08987,0.31361,0.46575,0.35033,0.22625,1.1487,0.78437,1.20771,0.00040225,0.00040225,0.00040225
38,836.67,1.03596,0.81236,1.08143,0.31598,0.51454,0.36859,0.24186,1.16374,0.86681,1.20232,0.000396063,0.000396063,0.000396063
39,858.878,1.03651,0.78842,1.0874,0.29655,0.55811,0.36842,0.24603,1.17111,0.86282,1.20366,0.000389875,0.000389875,0.000389875
40,879.707,1.00925,0.78617,1.07431,0.42786,0.44045,0.45606,0.32822,1.16199,0.81518,1.1981,0.000383688,0.000383688,0.000383688
41,901.852,1.02161,0.77507,1.07768,0.35232,0.44042,0.39435,0.26294,1.16367,0.79543,1.20995,0.0003775,0.0003775,0.0003775
42,922.908,1.00688,0.77926,1.08577,0.36224,0.46433,0.36849,0.25007,1.15986,0.86106,1.20831,0.000371313,0.000371313,0.000371313
43,944.865,1.00692,0.75447,1.08814,0.32339,0.44492,0.35148,0.23139,1.16793,0.83114,1.2083,0.000365125,0.000365125,0.000365125
44,965.304,1.02327,0.75125,1.08223,0.46054,0.41443,0.36822,0.24076,1.16508,0.84291,1.17823,0.000358938,0.000358938,0.000358938
