epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,568.333,1.33072,1.84407,1.1193,0.52925,0.52993,0.51452,0.3297,1.2426,1.45469,1.24171,0.000472697,0.000472697,0.000472697
2,615.098,1.23464,1.22378,1.08704,0.61656,0.61568,0.61291,0.39997,1.25141,1.20108,1.34111,0.00093024,0.00093024,0.00093024
3,661.175,1.21669,1.14521,1.09247,0.68905,0.61969,0.66269,0.41915,1.26747,1.07168,1.2853,0.00136892,0.00136892,0.00136892
4,706.881,1.18227,1.0711,1.08388,0.64339,0.68816,0.69794,0.46348,1.2571,1.03514,1.29177,0.00134412,0.00134412,0.00134412
5,753.137,1.14096,0.9865,1.06522,0.72231,0.68513,0.72006,0.48872,1.19117,0.90623,1.25466,0.00131582,0.00131582,0.00131582
6,799.28,1.13874,0.96579,1.06178,0.69934,0.70416,0.73542,0.49839,1.1845,0.85907,1.25894,0.00128753,0.00128753,0.00128753
7,845.16,1.1193,0.93151,1.05875,0.68045,0.70254,0.72701,0.49476,1.1504,0.89741,1.21636,0.00125923,0.00125923,0.00125923
8,890.711,1.09852,0.8986,1.05419,0.72359,0.68013,0.72959,0.50372,1.13749,0.85102,1.21642,0.00123094,0.00123094,0.00123094
9,936.989,1.08314,0.8768,1.03509,0.74735,0.71522,0.75082,0.5224,1.1235,0.80746,1.21775,0.00120265,0.00120265,0.00120265
10,983.382,1.07239,0.8652,1.04384,0.70774,0.70803,0.75199,0.52492,1.12884,0.81406,1.2337,0.00117435,0.00117435,0.00117435
11,1028.66,1.05792,0.84781,1.03997,0.70719,0.74105,0.76556,0.53985,1.08539,0.75995,1.20387,0.00114606,0.00114606,0.00114606
12,1073.98,1.04571,0.83055,1.03006,0.73294,0.72994,0.7641,0.54028,1.07648,0.78529,1.19993,0.00111776,0.00111776,0.00111776
13,1119.64,1.04031,0.81309,1.02922,0.7762,0.69992,0.7594,0.53556,1.1114,0.79307,1.2118,0.00108947,0.00108947,0.00108947
14,1165.15,1.02859,0.79622,1.01904,0.73772,0.69243,0.75662,0.53818,1.09932,0.73954,1.20797,0.00106118,0.00106118,0.00106118
15,1210.26,1.01453,0.79004,1.02331,0.77582,0.70635,0.77931,0.55411,1.09374,0.75463,1.20925,0.00103288,0.00103288,0.00103288
16,1256.02,1.00281,0.77194,1.01858,0.76862,0.72672,0.77393,0.55231,1.07784,0.73125,1.19962,0.00100459,0.00100459,0.00100459
17,1301.31,1.00003,0.77453,1.0162,0.71605,0.75189,0.78414,0.55949,1.05671,0.69696,1.17781,0.000976293,0.000976293,0.000976293
18,1347.7,0.99995,0.76932,1.01335,0.75254,0.70337,0.77823,0.55889,1.06035,0.68723,1.17029,0.000947999,0.000947999,0.000947999
19,1392.85,0.98583,0.76236,1.01005,0.77224,0.7267,0.78391,0.56307,1.06804,0.69773,1.21112,0.000919704,0.000919704,0.000919704
20,1438.09,0.97732,0.74717,1.01188,0.76419,0.72832,0.78017,0.56248,1.03842,0.69132,1.15099,0.00089141,0.00089141,0.00089141
21,1483.52,0.9697,0.73317,1.00182,0.7733,0.7186,0.78264,0.56407,1.0467,0.66838,1.17555,0.000863116,0.000863116,0.000863116
22,1529.22,0.96859,0.73379,1.0036,0.77124,0.74182,0.78342,0.56911,1.05026,0.674,1.16494,0.000834822,0.000834822,0.000834822
23,1575.05,0.95758,0.72258,0.99858,0.76719,0.74568,0.78357,0.56603,1.04224,0.66657,1.17819,0.000806528,0.000806528,0.000806528
24,1620.28,0.96259,0.72924,1.00177,0.75887,0.74086,0.7879,0.57794,1.01241,0.66075,1.15352,0.000778233,0.000778233,0.000778233
25,1666.34,0.96184,0.72031,1.00692,0.7811,0.72358,0.78887,0.57232,1.03773,0.64446,1.16974,0.000749939,0.000749939,0.000749939
26,1711.75,0.95094,0.72744,1.0051,0.77349,0.7224,0.79338,0.58237,1.00013,0.64961,1.16121,0.000721645,0.000721645,0.000721645
27,1757.01,0.95528,0.71938,1.00126,0.77873,0.73416,0.79254,0.57813,1.0433,0.67047,1.18226,0.000693351,0.000693351,0.000693351
28,1802.69,0.9424,0.69948,0.99679,0.77877,0.73791,0.79252,0.58491,0.99768,0.6474,1.14628,0.000665057,0.000665057,0.000665057
29,1848.71,0.94122,0.71072,0.99678,0.78274,0.7549,0.79683,0.58076,1.00971,0.63059,1.15593,0.000636762,0.000636762,0.000636762
30,1894.55,0.93219,0.69964,0.99354,0.77283,0.71616,0.78873,0.58371,1.01606,0.64668,1.15471,0.000608468,0.000608468,0.000608468
31,1939.86,0.91797,0.67966,0.98429,0.76372,0.73928,0.79421,0.58343,1.00091,0.63001,1.14702,0.000580174,0.000580174,0.000580174
32,1986.25,0.91692,0.69116,0.98589,0.78204,0.75129,0.79856,0.58714,0.99711,0.641,1.15802,0.00055188,0.00055188,0.00055188
33,2032.04,0.91405,0.6792,0.98824,0.76911,0.74005,0.79587,0.58854,0.98832,0.62266,1.15498,0.000523586,0.000523586,0.000523586
34,2076.93,0.91239,0.67675,0.98655,0.78502,0.72432,0.78978,0.58408,0.98919,0.62618,1.15724,0.000495291,0.000495291,0.000495291
35,2121.85,0.90269,0.6737,0.97722,0.77621,0.74254,0.79831,0.58943,0.98047,0.60919,1.15166,0.000466997,0.000466997,0.000466997
36,2168.29,0.89504,0.6609,0.98135,0.78992,0.73674,0.80395,0.60019,0.98569,0.60828,1.1387,0.000438703,0.000438703,0.000438703
37,2213.59,0.89411,0.65847,0.98086,0.77819,0.75917,0.8054,0.59672,0.9828,0.59838,1.14524,0.000410409,0.000410409,0.000410409
38,2258.77,0.88504,0.64712,0.97512,0.7847,0.7511,0.80725,0.60089,0.97977,0.6047,1.14361,0.000382115,0.000382115,0.000382115
39,2305.03,0.88401,0.64747,0.97181,0.77372,0.72231,0.79897,0.59545,0.97651,0.60244,1.14079,0.00035382,0.00035382,0.00035382
40,2350.99,0.87232,0.6443,0.97265,0.79274,0.737,0.79954,0.59783,0.97476,0.60139,1.13963,0.000325526,0.000325526,0.000325526
41,2396.97,0.85016,0.60937,0.95866,0.77475,0.75141,0.80373,0.59651,0.96746,0.6019,1.13186,0.000297232,0.000297232,0.000297232
42,2440.18,0.84154,0.59834,0.95628,0.77774,0.75871,0.80473,0.60181,0.95552,0.5917,1.12454,0.000268938,0.000268938,0.000268938
43,2483.56,0.83334,0.5949,0.9539,0.78592,0.74217,0.80202,0.60067,0.9649,0.59912,1.13399,0.000240644,0.000240644,0.000240644
44,2526.59,0.83696,0.59165,0.95227,0.75967,0.76888,0.80606,0.60482,0.95834,0.58639,1.13185,0.000212349,0.000212349,0.000212349
45,2569.38,0.82108,0.58387,0.94808,0.7702,0.75083,0.80629,0.60624,0.95618,0.58461,1.12998,0.000184055,0.000184055,0.000184055
46,2612.35,0.81817,0.57886,0.94846,0.77182,0.7424,0.80582,0.60644,0.95566,0.59333,1.13229,0.000155761,0.000155761,0.000155761
47,2655.4,0.80617,0.57117,0.94403,0.77919,0.74528,0.80778,0.60722,0.95293,0.5862,1.12913,0.000127467,0.000127467,0.000127467
48,2698.68,0.80464,0.56923,0.94224,0.77555,0.76158,0.81013,0.61051,0.94604,0.58362,1.13329,9.91726e-05,9.91726e-05,9.91726e-05
49,2741.5,0.79678,0.56374,0.94151,0.77126,0.77245,0.8089,0.61232,0.94613,0.58383,1.13598,7.08784e-05,7.08784e-05,7.08784e-05
50,2784.48,0.80003,0.5652,0.93904,0.7678,0.76651,0.81046,0.61455,0.94599,0.58428,1.13185,4.25842e-05,4.25842e-05,4.25842e-05
