timestamp,phase,signal_state,green_duration,WEST,EAST,NORTH,SOUTH,CENTER,wait_W,wait_E,wait_N,wait_S,vehicles_passed,avg_wait
2026-04-08_15-10-20,EW,YELLOW,3,0,0,3,1,2,0.00,0.00,18.51,6.17,184,4.25
2026-04-08_15-10-23,EW,ALL_RED,3,0,0,3,1,2,0.00,0.00,28.16,10.08,184,5.33
2026-04-08_15-10-26,NS,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,184,6.71
2026-04-08_15-10-53,NS,YELLOW,3,0,0,3,1,2,0.00,0.00,0.00,0.00,283,5.13
2026-04-08_15-10-56,NS,ALL_RED,3,0,0,3,2,2,0.00,0.00,0.00,0.00,283,4.99
2026-04-08_15-10-59,EW,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,283,4.86
2026-04-08_15-11-05,EW,YELLOW,3,0,0,3,1,2,0.00,0.00,18.27,6.09,283,5.25
2026-04-08_15-11-08,EW,ALL_RED,3,0,0,3,1,2,0.00,0.00,27.32,9.11,283,5.85
2026-04-08_15-11-11,NS,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,283,6.71
2026-04-08_15-11-37,NS,YELLOW,3,0,0,3,1,2,0.00,0.00,0.00,0.00,377,5.58
2026-04-08_15-11-40,NS,ALL_RED,3,0,0,3,2,2,0.00,0.00,0.00,0.00,377,5.47
2026-04-08_15-11-44,EW,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,377,5.37
2026-04-08_15-11-50,EW,YELLOW,3,0,0,3,1,2,0.00,0.00,18.46,6.39,377,5.65
2026-04-08_15-11-53,EW,ALL_RED,3,0,0,3,1,2,0.00,0.00,28.10,10.76,377,6.15
2026-04-08_15-11-56,NS,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,377,6.83
2026-04-08_15-12-22,NS,YELLOW,3,0,0,3,1,2,0.00,0.00,0.00,0.00,476,5.95
2026-04-08_15-12-25,NS,ALL_RED,3,0,0,3,2,2,0.00,0.00,0.00,0.00,476,5.86
2026-04-08_15-12-28,EW,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,476,5.77
2026-04-08_15-12-34,EW,YELLOW,3,0,0,3,1,2,0.00,0.00,18.05,7.60,476,5.99
2026-04-08_15-12-37,EW,ALL_RED,3,0,0,3,1,2,0.00,0.00,27.70,11.04,476,6.39
2026-04-08_15-12-40,NS,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,476,6.93
2026-04-08_15-13-06,NS,YELLOW,3,0,0,3,2,2,0.00,0.00,0.00,0.00,582,6.19
2026-04-08_15-13-09,NS,ALL_RED,3,0,0,3,2,2,0.00,0.00,0.00,0.00,582,6.12
2026-04-08_15-13-13,EW,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,582,6.04
2026-04-08_15-13-19,EW,YELLOW,3,0,0,3,1,2,0.00,0.00,18.52,6.17,582,6.21
2026-04-08_15-13-22,EW,ALL_RED,3,0,0,3,1,2,0.00,0.00,28.21,9.64,582,6.53
2026-04-08_15-13-25,NS,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,582,6.96
2026-04-08_15-13-51,NS,YELLOW,3,0,0,3,1,2,0.00,0.00,0.00,0.00,685,6.33
2026-04-08_15-13-54,NS,ALL_RED,3,0,0,3,2,2,0.00,0.00,0.00,0.00,685,6.26
2026-04-08_15-13-57,EW,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,685,6.20
2026-04-08_15-14-03,EW,YELLOW,3,0,0,3,1,2,0.00,0.00,18.59,6.20,685,6.36
2026-04-08_15-14-06,EW,ALL_RED,3,0,0,3,1,2,0.00,0.00,28.04,9.35,685,6.64
2026-04-08_15-14-09,NS,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,685,7.06
2026-04-08_15-14-35,NS,YELLOW,3,0,0,3,2,2,0.00,0.00,0.00,0.00,767,6.55
2026-04-08_15-14-41,NS,ALL_RED,3,0,0,3,2,2,0.00,0.00,0.00,0.00,767,6.50
2026-04-08_15-14-44,EW,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,767,6.46
2026-04-08_15-15-45,NS,GREEN,10,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-16-11,NS,YELLOW,3,0,0,3,2,2,0.00,0.00,0.00,0.00,96,0.00
2026-04-08_15-16-14,NS,ALL_RED,3,0,0,3,2,2,0.00,0.00,0.00,0.00,96,0.00
2026-04-08_15-16-17,EW,GREEN,10,0,0,3,2,2,0.00,0.00,0.00,0.00,96,0.00
2026-04-08_15-16-23,EW,YELLOW,3,0,0,3,2,2,0.00,0.00,18.26,9.22,96,2.51
