epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4846,1.3137,1.4167,1.11786,0.69028,0.66811,0.70939,0.42333,1.38767,1.43039,1.42702,0.000662192,0.000662192,0.000662192
2,114.173,1.2266,0.99143,1.08839,0.71767,0.73268,0.71532,0.42956,1.40494,1.37354,1.5561,0.0013157,0.0013157,0.0013157
3,164.758,1.22766,0.95099,1.0976,0.76727,0.71869,0.77263,0.4707,1.35602,1.13254,1.3713,0.00195601,0.00195601,0.00195601
4,214.012,1.20323,0.90854,1.09114,0.77541,0.75102,0.80238,0.51249,1.31649,1.01207,1.36703,0.0019406,0.0019406,0.0019406
5,264.778,1.18277,0.8743,1.08581,0.78461,0.76081,0.81342,0.51525,1.30104,0.9316,1.37857,0.0019208,0.0019208,0.0019208
6,314.365,1.1426,0.82732,1.0641,0.81095,0.80679,0.84824,0.54635,1.19283,0.75942,1.24538,0.001901,0.001901,0.001901
7,365.141,1.13297,0.81039,1.06603,0.81362,0.80431,0.84812,0.5577,1.18479,0.76302,1.26152,0.0018812,0.0018812,0.0018812
8,415.485,1.11379,0.79112,1.06006,0.8001,0.80607,0.83651,0.54421,1.22722,0.8184,1.26014,0.0018614,0.0018614,0.0018614
9,465.403,1.1246,0.79255,1.06835,0.80986,0.79969,0.84943,0.56121,1.1465,0.72988,1.22738,0.0018416,0.0018416,0.0018416
10,516.209,1.09092,0.75863,1.05118,0.81343,0.79861,0.84906,0.56388,1.1468,0.7197,1.23906,0.0018218,0.0018218,0.0018218
11,565.185,1.0711,0.72855,1.0408,0.82386,0.82836,0.86551,0.58278,1.12482,0.68198,1.23117,0.001802,0.001802,0.001802
12,616.074,1.06465,0.72198,1.0385,0.80544,0.82396,0.85758,0.57449,1.11428,0.74629,1.22125,0.0017822,0.0017822,0.0017822
13,666.195,1.07513,0.72705,1.04553,0.82028,0.81472,0.85537,0.57004,1.11224,0.7272,1.21089,0.0017624,0.0017624,0.0017624
14,716.168,1.04779,0.71915,1.0343,0.82975,0.82179,0.86664,0.58931,1.08806,0.65641,1.19502,0.0017426,0.0017426,0.0017426
15,767.029,1.04191,0.7123,1.03232,0.82362,0.81542,0.86151,0.59026,1.11119,0.68064,1.24266,0.0017228,0.0017228,0.0017228
16,816.349,1.02462,0.68711,1.02412,0.82269,0.82984,0.87007,0.58404,1.11309,0.66333,1.23502,0.001703,0.001703,0.001703
17,867.156,1.01677,0.6822,1.02355,0.83135,0.82922,0.87197,0.59911,1.07011,0.63854,1.1991,0.0016832,0.0016832,0.0016832
18,917.626,1.02036,0.68585,1.02905,0.8265,0.82651,0.86895,0.58853,1.09468,0.67787,1.22486,0.0016634,0.0016634,0.0016634
19,967.492,1.01828,0.68123,1.02775,0.82358,0.82464,0.86525,0.57987,1.09724,0.64457,1.18298,0.0016436,0.0016436,0.0016436
20,1017.69,1.01974,0.67517,1.02377,0.83042,0.83383,0.87339,0.6034,1.05485,0.63912,1.17908,0.0016238,0.0016238,0.0016238
21,1067.72,1.00194,0.6628,1.01865,0.84204,0.83176,0.87434,0.59533,1.06539,0.62563,1.18055,0.001604,0.001604,0.001604
22,1118.52,0.99293,0.651,1.01033,0.83053,0.83995,0.8784,0.60179,1.06485,0.62851,1.17809,0.0015842,0.0015842,0.0015842
23,1169.42,1.00861,0.65885,1.02241,0.82778,0.83811,0.87439,0.6069,1.04188,0.62802,1.1742,0.0015644,0.0015644,0.0015644
24,1225.8,0.99173,0.64505,1.00807,0.8345,0.82898,0.86929,0.60583,1.05561,0.62343,1.18311,0.0015446,0.0015446,0.0015446
25,1283.46,0.98048,0.6472,1.01113,0.83099,0.83786,0.87163,0.60267,1.04211,0.62786,1.17742,0.0015248,0.0015248,0.0015248
26,1335.75,0.98858,0.65133,1.01476,0.82864,0.84707,0.8808,0.60916,1.05732,0.62146,1.19177,0.001505,0.001505,0.001505
27,1389.08,0.97956,0.64066,1.00815,0.82899,0.83827,0.87979,0.61284,1.04704,0.60534,1.18672,0.0014852,0.0014852,0.0014852
28,1442.84,0.96909,0.63575,1.00305,0.83505,0.8379,0.87901,0.61253,1.03629,0.60008,1.16963,0.0014654,0.0014654,0.0014654
29,1496.83,0.96381,0.62685,1.0037,0.84001,0.83286,0.87701,0.61465,1.03048,0.60342,1.17437,0.0014456,0.0014456,0.0014456
30,1548.91,0.96711,0.63009,1.00801,0.83257,0.84302,0.88298,0.6104,1.0331,0.60046,1.1655,0.0014258,0.0014258,0.0014258
31,1602.06,0.966,0.62721,1.00363,0.83828,0.83939,0.88421,0.62269,1.02647,0.58731,1.1669,0.001406,0.001406,0.001406
32,1655.57,0.9547,0.63096,1.00434,0.83432,0.84377,0.88255,0.62083,1.02969,0.58156,1.17887,0.0013862,0.0013862,0.0013862
33,1709.06,0.94503,0.61969,0.99676,0.83821,0.84819,0.8826,0.62561,0.99886,0.56506,1.15987,0.0013664,0.0013664,0.0013664
34,1761.88,0.94074,0.61593,0.99766,0.82862,0.84286,0.8788,0.62182,1.01462,0.58877,1.16571,0.0013466,0.0013466,0.0013466
35,1815.34,0.93272,0.60659,0.99683,0.8384,0.84421,0.88223,0.6187,1.02621,0.59273,1.16007,0.0013268,0.0013268,0.0013268
