run_name,profile,controller_mode,sim_time_end,vehicles_departed,vehicles_arrived,completion_ratio,throughput_veh_per_hour,avg_travel_time_s,avg_depart_delay_s,max_depart_delay_s,avg_total_queue,max_total_queue,avg_total_wait_s,avg_active_vehicles,peak_active_vehicles,avg_pending_insert,max_pending_insert
pm_peak_fixed,pm_peak,fixed,3601.0,1195,1120,0.9372,1120.000,107.661,92.092,1117.636,31.288,67,2583.366,47.671,77,118.580,470
pm_peak_ai,pm_peak,ai,3601.0,1548,1536,0.9922,1536.000,56.594,86.658,874.227,8.140,22,161.701,24.289,43,53.020,133
