epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1993.79,0.92446,0.67485,0.98646,0.75946,0.74184,0.79425,0.58458,0.99492,0.62956,1.15754,0.000848969,0.000848969,0.000848969
43,2041.03,0.91002,0.67489,0.98684,0.77693,0.74846,0.79623,0.58386,1.00574,0.64381,1.16106,0.000834822,0.000834822,0.000834822
44,2087.63,0.91728,0.67289,0.98621,0.78428,0.74453,0.80102,0.58752,0.99241,0.63705,1.15395,0.000820675,0.000820675,0.000820675
45,2135.41,0.90482,0.66699,0.98203,0.76098,0.74628,0.79469,0.5908,1.01,0.63461,1.165,0.000806528,0.000806528,0.000806528
46,2181.79,0.91034,0.66906,0.98522,0.77829,0.72518,0.79606,0.59177,0.99086,0.62059,1.14843,0.00079238,0.00079238,0.00079238
47,2228.44,0.90285,0.66223,0.98325,0.78131,0.74383,0.80114,0.59464,0.97924,0.62551,1.14429,0.000778233,0.000778233,0.000778233
48,2275.89,0.89564,0.65449,0.97937,0.77247,0.76525,0.80647,0.59404,0.99026,0.64613,1.15066,0.000764086,0.000764086,0.000764086
49,2322.8,0.89891,0.64941,0.97983,0.77637,0.74988,0.79834,0.59586,0.96958,0.61563,1.14772,0.000749939,0.000749939,0.000749939
50,2369.76,0.88379,0.65064,0.97639,0.77689,0.74893,0.80212,0.59397,1.00074,0.62791,1.16777,0.000735792,0.000735792,0.000735792
51,2417.32,0.90804,0.6665,0.98312,0.7808,0.73296,0.79511,0.58753,0.98958,0.62918,1.15843,0.000721645,0.000721645,0.000721645
52,2464.25,0.88353,0.64953,0.97307,0.78056,0.73063,0.80007,0.59282,0.97573,0.61259,1.14235,0.000707498,0.000707498,0.000707498
53,2510.44,0.88817,0.64247,0.97455,0.78714,0.73768,0.80339,0.5957,0.97421,0.61486,1.13824,0.000693351,0.000693351,0.000693351
54,2558.11,0.89,0.64986,0.97774,0.7724,0.75016,0.80326,0.59895,0.9683,0.61429,1.13927,0.000679204,0.000679204,0.000679204
55,2604.04,0.88886,0.65036,0.97637,0.77637,0.75334,0.80399,0.59904,0.99038,0.61946,1.1575,0.000665057,0.000665057,0.000665057
56,2651.06,0.87549,0.64377,0.97285,0.77323,0.76866,0.81409,0.6028,0.97097,0.61591,1.14286,0.000650909,0.000650909,0.000650909
57,2698.69,0.88081,0.64285,0.97386,0.78958,0.73631,0.80871,0.60344,0.97823,0.60052,1.14699,0.000636762,0.000636762,0.000636762
58,2745.16,0.8712,0.6324,0.97025,0.78839,0.74636,0.80732,0.60303,0.97133,0.61813,1.14499,0.000622615,0.000622615,0.000622615
