epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6804,1.30938,1.40126,1.11658,0.7435,0.61142,0.70495,0.43298,1.32809,1.47037,1.42809,0.000661578,0.000661578,0.000661578
2,92.9581,1.24035,0.98872,1.09828,0.76311,0.73851,0.77855,0.48289,1.33807,1.1872,1.47776,0.00131509,0.00131509,0.00131509
3,136.819,1.23473,0.95812,1.10521,0.75292,0.69352,0.74142,0.45937,1.33663,1.61599,1.37223,0.00195541,0.00195541,0.00195541
4,180.58,1.19484,0.88974,1.09092,0.80668,0.78139,0.83206,0.53251,1.2427,0.94889,1.31007,0.0019406,0.0019406,0.0019406
5,224.185,1.1573,0.83717,1.07461,0.7904,0.77908,0.82875,0.52753,1.21665,1.00123,1.2684,0.0019208,0.0019208,0.0019208
6,268.46,1.17013,0.82515,1.07708,0.79139,0.7847,0.8167,0.52174,1.25824,0.84675,1.3012,0.001901,0.001901,0.001901
7,313.368,1.14905,0.81293,1.07635,0.79136,0.81101,0.84224,0.53834,1.20315,0.87776,1.24837,0.0018812,0.0018812,0.0018812
8,357.401,1.11807,0.7764,1.0632,0.80754,0.78324,0.83571,0.55299,1.14101,0.74862,1.22888,0.0018614,0.0018614,0.0018614
9,401.243,1.11039,0.763,1.05067,0.82234,0.81573,0.85218,0.57013,1.1436,0.71746,1.25003,0.0018416,0.0018416,0.0018416
10,444.84,1.10468,0.75654,1.05706,0.81812,0.80163,0.85496,0.56998,1.12616,0.77651,1.20866,0.0018218,0.0018218,0.0018218
11,488.528,1.08987,0.73798,1.04966,0.81872,0.80419,0.85425,0.5746,1.12929,0.71109,1.22109,0.001802,0.001802,0.001802
12,533.809,1.07567,0.73326,1.0444,0.82271,0.81435,0.8616,0.57635,1.13342,0.69337,1.22682,0.0017822,0.0017822,0.0017822
13,578.468,1.06648,0.71863,1.04195,0.81732,0.81212,0.85241,0.55838,1.18703,0.72984,1.23908,0.0017624,0.0017624,0.0017624
14,622.711,1.04806,0.69908,1.02969,0.82457,0.80989,0.86354,0.58106,1.12926,0.69074,1.22382,0.0017426,0.0017426,0.0017426
15,666.897,1.04858,0.69312,1.0395,0.82866,0.82891,0.87305,0.59582,1.07776,0.65143,1.19314,0.0017228,0.0017228,0.0017228
16,711.167,1.03585,0.68809,1.03404,0.82136,0.84,0.87096,0.58852,1.09191,0.6719,1.21353,0.001703,0.001703,0.001703
17,755.925,1.03959,0.69134,1.03155,0.82345,0.82489,0.86782,0.59151,1.0722,0.66654,1.181,0.0016832,0.0016832,0.0016832
18,800.832,1.0275,0.68602,1.02679,0.81951,0.8291,0.86615,0.59213,1.10778,0.67216,1.23236,0.0016634,0.0016634,0.0016634
19,844.511,1.0195,0.6773,1.02444,0.83378,0.82927,0.87469,0.60025,1.0782,0.65934,1.20671,0.0016436,0.0016436,0.0016436
20,888.476,1.01083,0.66485,1.02774,0.83369,0.82999,0.87207,0.59489,1.07305,0.66609,1.1931,0.0016238,0.0016238,0.0016238
21,931.917,1.00443,0.65506,1.01688,0.82052,0.82945,0.87278,0.60048,1.08554,0.63666,1.21538,0.001604,0.001604,0.001604
22,975.977,0.99999,0.65254,1.01845,0.83069,0.8367,0.87662,0.60488,1.06623,0.61958,1.19061,0.0015842,0.0015842,0.0015842
23,1020.12,0.98699,0.64759,1.01125,0.83267,0.83195,0.87531,0.6038,1.06749,0.6161,1.18888,0.0015644,0.0015644,0.0015644
24,1065.61,0.99598,0.65024,1.01593,0.82779,0.83232,0.87509,0.60659,1.05002,0.61798,1.17229,0.0015446,0.0015446,0.0015446
25,1109.57,0.99199,0.64778,1.02078,0.83279,0.83901,0.87956,0.61109,1.05371,0.59602,1.17925,0.0015248,0.0015248,0.0015248
26,1153.34,0.98991,0.6525,1.02149,0.83386,0.83629,0.87651,0.60963,1.02601,0.60127,1.16762,0.001505,0.001505,0.001505
27,1197.06,0.99671,0.64967,1.02133,0.83171,0.84031,0.87899,0.61388,1.03795,0.6016,1.17998,0.0014852,0.0014852,0.0014852
28,1241.16,0.98334,0.63922,1.01565,0.82616,0.83877,0.87598,0.61409,1.031,0.59861,1.16764,0.0014654,0.0014654,0.0014654
29,1286.59,0.98611,0.64296,1.01734,0.83305,0.83331,0.87868,0.60881,1.04909,0.61165,1.18082,0.0014456,0.0014456,0.0014456
30,1330.83,0.97669,0.64266,1.01025,0.83487,0.83836,0.87715,0.61038,1.03575,0.59477,1.17287,0.0014258,0.0014258,0.0014258
31,1374.9,0.96245,0.62199,1.00437,0.8333,0.83381,0.88073,0.61844,1.02729,0.59368,1.16784,0.001406,0.001406,0.001406
32,1419.5,0.96351,0.63033,1.00775,0.82801,0.84434,0.88026,0.61577,1.01932,0.60465,1.16301,0.0013862,0.0013862,0.0013862
33,1463.49,0.9591,0.62452,1.0072,0.84008,0.82848,0.881,0.62104,1.01093,0.57912,1.15583,0.0013664,0.0013664,0.0013664
34,1508.79,0.95708,0.62505,1.00548,0.83757,0.84013,0.88276,0.61909,1.03341,0.58989,1.18585,0.0013466,0.0013466,0.0013466
35,1552.64,0.95511,0.61438,0.99634,0.82797,0.84719,0.88039,0.6237,1.00782,0.5796,1.15788,0.0013268,0.0013268,0.0013268
36,1596.83,0.94644,0.6136,1.00214,0.83964,0.83468,0.87991,0.62257,1.00925,0.57478,1.1587,0.001307,0.001307,0.001307
37,1641.06,0.94465,0.6089,1.00056,0.82933,0.84852,0.885,0.62615,0.99476,0.57026,1.1511,0.0012872,0.0012872,0.0012872
38,1685.35,0.93675,0.59907,0.99443,0.83912,0.84261,0.88631,0.63038,1.01147,0.57975,1.17184,0.0012674,0.0012674,0.0012674
39,1730.3,0.93736,0.60255,0.99335,0.8263,0.85339,0.88291,0.62501,1.01825,0.57657,1.17565,0.0012476,0.0012476,0.0012476
40,1775.17,0.9272,0.60042,0.99612,0.83062,0.85165,0.88299,0.63233,0.99146,0.57456,1.15146,0.0012278,0.0012278,0.0012278
41,1818.84,0.91384,0.59569,0.99149,0.83525,0.84447,0.88492,0.63085,1.00472,0.57147,1.15993,0.001208,0.001208,0.001208
42,1862.96,0.94208,0.60102,1.00098,0.83249,0.84409,0.88351,0.63143,0.9911,0.56543,1.15701,0.0011882,0.0011882,0.0011882
43,1907.6,0.92044,0.59733,0.99912,0.82486,0.84927,0.88155,0.62401,1.00082,0.5777,1.15654,0.0011684,0.0011684,0.0011684
44,1951.74,0.92834,0.59509,0.99321,0.8362,0.85537,0.89086,0.63703,0.98152,0.55615,1.14094,0.0011486,0.0011486,0.0011486
45,1997.15,0.92138,0.59467,0.99081,0.83082,0.85147,0.8869,0.63498,0.99928,0.55747,1.15032,0.0011288,0.0011288,0.0011288
46,2041.61,0.9244,0.59402,0.99641,0.82814,0.85711,0.88448,0.63269,0.99039,0.56151,1.15204,0.001109,0.001109,0.001109
47,2085.64,0.91686,0.58685,0.99154,0.83512,0.84928,0.88598,0.63467,0.98768,0.56183,1.15723,0.0010892,0.0010892,0.0010892
48,2130.32,0.90642,0.57893,0.9861,0.8352,0.85674,0.886,0.63479,0.9839,0.5655,1.15146,0.0010694,0.0010694,0.0010694
49,2174.61,0.90314,0.57548,0.98431,0.83583,0.85243,0.8869,0.63451,0.99117,0.558,1.15951,0.0010496,0.0010496,0.0010496
50,2220.9,0.89257,0.57032,0.98322,0.83586,0.84794,0.88504,0.63162,0.99436,0.55529,1.14903,0.0010298,0.0010298,0.0010298
51,2265.52,0.91601,0.5831,0.99001,0.84222,0.85364,0.89071,0.63739,0.98224,0.56138,1.15104,0.00101,0.00101,0.00101
52,2309.94,0.89291,0.5685,0.97938,0.83894,0.85252,0.89069,0.63928,0.97593,0.54623,1.14212,0.0009902,0.0009902,0.0009902
53,2354.76,0.89652,0.57118,0.98208,0.83114,0.85463,0.88594,0.63822,0.97517,0.55878,1.13749,0.0009704,0.0009704,0.0009704
54,2399.16,0.89834,0.57541,0.98315,0.82721,0.85734,0.8898,0.64148,0.97709,0.55001,1.14199,0.0009506,0.0009506,0.0009506
