scenario_type,cars_N,cars_S,cars_E,cars_W,wait_N,wait_S,wait_E,wait_W,phase_flag,rush_flag,ped_flag,best_green_time
medium,2,0,1,1,2.0,0.0,2.0,4.0,1,0,0,10
medium,1,3,0,0,5.0,42.0,0.0,0.0,0,0,0,10
medium,1,3,1,1,1.0,34.0,5.0,6.0,1,0,0,10
medium,2,3,0,0,11.0,31.0,0.0,0.0,0,0,0,10
medium,1,1,0,1,2.0,2.0,0.0,7.0,1,0,0,10
medium,1,3,1,0,6.0,41.0,2.0,0.0,0,0,0,10
medium,2,3,2,1,1.0,31.0,15.0,7.0,1,0,0,10
medium,1,3,1,0,9.0,31.0,2.0,0.0,0,0,0,10
medium,1,1,3,1,3.0,1.0,46.0,5.0,1,0,0,10
medium,1,3,1,0,4.0,41.0,2.0,0.0,0,0,0,10
medium,1,2,1,1,2.0,5.0,19.0,4.0,1,0,0,10
medium,2,4,0,0,11.0,45.0,0.0,0.0,0,0,0,10
medium,1,1,0,1,3.0,8.0,0.0,6.0,1,0,0,10
medium,3,3,0,0,12.0,35.0,0.0,0.0,0,0,0,15
medium,0,2,2,1,0.0,4.0,23.0,10.0,1,0,0,10
medium,1,4,0,1,6.0,51.0,0.0,0.0,0,0,0,10
medium,1,0,2,1,2.0,0.0,11.0,6.0,1,0,0,10
medium,1,3,0,0,3.0,43.0,0.0,0.0,0,0,0,10
medium,0,3,1,1,0.0,6.0,5.0,5.0,1,0,0,10
medium,0,4,1,1,0.0,50.0,4.0,0.0,0,0,0,10
medium,0,1,2,1,0.0,1.0,12.0,4.0,1,0,0,10
medium,2,3,1,0,8.0,46.0,1.0,0.0,0,0,0,10
medium,0,0,0,1,0.0,0.0,0.0,0.0,1,0,1,20
medium,0,0,1,1,0.0,0.0,1.0,3.0,0,0,0,10
medium,0,0,3,1,0.0,0.0,15.0,5.0,1,0,0,10
medium,0,0,0,1,0.0,0.0,0.0,2.0,0,0,0,10
medium,1,0,0,0,28.0,0.0,0.0,0.0,0,0,0,10
medium,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,10
medium,0,0,0,1,0.0,0.0,0.0,3.0,0,0,1,20
medium,1,0,5,2,1.0,0.0,58.0,32.0,1,0,1,20
medium,1,0,2,1,25.0,0.0,1.0,2.0,0,0,0,10
medium,0,0,0,1,0.0,0.0,0.0,9.0,1,0,0,10
medium,0,0,0,1,0.0,0.0,0.0,3.0,0,0,0,10
medium,2,0,2,1,2.0,0.0,9.0,17.0,1,0,0,10
medium,3,1,1,0,16.0,2.0,0.0,0.0,0,0,1,20
medium,0,0,3,2,0.0,0.0,18.0,16.0,1,0,1,20
medium,0,0,0,1,0.0,0.0,0.0,3.0,0,0,0,10
medium,0,0,1,2,0.0,0.0,9.0,26.0,1,0,0,10
medium,1,0,2,0,6.0,0.0,4.0,0.0,0,0,0,10
medium,0,0,5,1,0.0,0.0,66.0,10.0,1,0,0,15
medium,1,1,0,0,10.0,4.0,0.0,0.0,0,0,0,10
medium,0,0,3,2,0.0,0.0,33.0,6.0,1,0,0,10
medium,1,0,0,1,4.0,0.0,0.0,1.0,0,0,1,20
medium,1,0,2,2,1.0,0.0,14.0,25.0,1,0,1,20
medium,3,3,2,1,36.0,34.0,2.0,2.0,0,0,0,10
medium,1,0,2,2,4.0,0.0,14.0,14.0,1,0,0,10
medium,1,1,1,1,3.0,1.0,1.0,1.0,0,0,0,10
medium,0,0,3,3,0.0,0.0,22.0,42.0,1,0,0,10
medium,2,0,1,0,5.0,0.0,1.0,0.0,0,0,0,10
medium,0,1,2,2,0.0,3.0,12.0,6.0,1,0,1,20
medium,1,2,0,0,12.0,16.0,0.0,0.0,0,0,0,10
medium,0,0,2,1,0.0,0.0,13.0,3.0,1,0,0,10
medium,1,0,0,1,4.0,0.0,0.0,1.0,0,0,0,10
medium,0,0,2,1,0.0,0.0,14.0,4.0,1,0,1,20
medium,1,2,1,1,12.0,9.0,1.0,2.0,0,0,0,10
medium,0,0,2,3,0.0,0.0,12.0,37.0,1,0,1,20
medium,3,2,1,1,30.0,12.0,1.0,1.0,0,0,1,20
medium,1,0,2,2,1.0,0.0,38.0,39.0,1,0,0,10
medium,1,1,4,1,14.0,5.0,5.0,1.0,0,0,0,10
medium,0,1,3,1,0.0,1.0,34.0,3.0,1,0,0,10
medium,1,3,1,0,9.0,25.0,3.0,0.0,0,0,0,10
medium,0,0,1,1,0.0,0.0,8.0,2.0,1,0,0,10
medium,1,0,0,0,5.0,0.0,0.0,0.0,0,0,0,10
medium,0,1,1,1,0.0,0.0,2.0,4.0,1,0,0,10
medium,0,0,5,3,0.0,0.0,82.0,64.0,1,0,0,10
medium,0,1,1,0,0.0,0.0,0.0,0.0,0,0,0,10
medium,1,0,1,0,1.0,0.0,1.0,0.0,1,0,0,10
medium,3,2,0,0,20.0,9.0,0.0,0.0,0,0,0,10
medium,1,0,1,0,2.0,0.0,1.0,0.0,1,0,0,10
medium,1,1,1,0,5.0,6.0,2.0,0.0,0,0,0,10
medium,0,0,1,1,0.0,0.0,3.0,4.0,1,0,0,10
medium,1,1,0,0,1.0,1.0,0.0,0.0,0,0,0,10
medium,1,0,0,1,3.0,0.0,0.0,2.0,1,0,0,10
medium,1,0,0,1,6.0,0.0,0.0,1.0,0,0,0,10
medium,0,0,1,4,0.0,0.0,9.0,33.0,1,0,0,10
medium,0,0,0,2,0.0,0.0,0.0,3.0,0,0,0,10
medium,0,0,2,2,0.0,0.0,11.0,24.0,1,0,0,10
medium,1,0,0,1,5.0,0.0,0.0,2.0,0,0,0,10
medium,0,0,0,1,0.0,0.0,0.0,3.0,1,0,0,10
medium,0,1,1,1,0.0,1.0,1.0,3.0,0,0,0,10
medium,0,0,1,1,0.0,0.0,5.0,4.0,1,0,0,10
medium,1,0,3,1,6.0,0.0,3.0,0.0,0,0,0,10
medium,0,0,2,0,0.0,0.0,11.0,0.0,1,0,0,10
medium,0,1,1,0,0.0,1.0,0.0,0.0,0,0,0,10
medium,0,0,0,1,0.0,0.0,0.0,4.0,1,0,0,10
medium,1,0,2,2,7.0,0.0,1.0,3.0,0,0,0,10
medium,0,0,2,3,0.0,0.0,10.0,33.0,1,0,0,10
medium,0,0,0,2,0.0,0.0,0.0,3.0,0,0,0,10
medium,0,0,3,3,0.0,0.0,12.0,26.0,1,0,0,10
medium,1,1,1,0,5.0,1.0,0.0,0.0,0,0,0,10
medium,0,0,1,2,0.0,0.0,1.0,6.0,1,0,0,10
medium,0,1,2,0,0.0,1.0,1.0,0.0,0,0,0,10
medium,0,0,2,1,0.0,0.0,7.0,4.0,1,0,0,10
medium,1,0,2,0,7.0,0.0,4.0,0.0,0,0,0,10
medium,0,0,3,0,0.0,0.0,15.0,0.0,1,0,0,10
medium,0,0,4,3,0.0,0.0,70.0,78.0,1,0,0,10
medium,1,0,0,1,0.0,0.0,0.0,0.0,0,0,0,10
medium,4,4,0,0,115.0,96.0,0.0,0.0,0,0,0,10
medium,1,0,1,0,2.0,0.0,0.0,0.0,1,0,0,10
