epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
11,1946.61,1.06842,0.91782,1.07383,0.80208,0.76525,0.81366,0.57452,1.17348,0.88973,1.21078,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,2120.33,1.05913,0.89628,1.07256,0.78636,0.75963,0.80695,0.57267,1.17026,0.89488,1.197,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,2293.63,1.04415,0.8852,1.06964,0.79631,0.756,0.80651,0.5735,1.16429,0.86509,1.20434,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
14,2468.78,1.04148,0.86345,1.06484,0.79851,0.75342,0.80676,0.57588,1.15898,0.86757,1.21708,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
15,2643.44,1.03208,0.83703,1.05972,0.80489,0.7585,0.80852,0.58143,1.15369,0.83636,1.19538,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,2816.03,1.01523,0.82162,1.0471,0.78294,0.76876,0.81485,0.58854,1.14431,0.82726,1.19644,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,2988.96,1.0214,0.82589,1.06174,0.79351,0.76264,0.8129,0.58763,1.1301,0.81703,1.17793,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,3162.08,1.0167,0.81068,1.05433,0.79842,0.77824,0.81361,0.58229,1.1377,0.82144,1.18818,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
19,3334.55,1.00282,0.80294,1.04953,0.79346,0.77043,0.8156,0.58681,1.13703,0.79594,1.18682,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
20,3508.67,1.0026,0.79353,1.05296,0.79886,0.77481,0.81964,0.5924,1.12884,0.7752,1.18709,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
21,3683.81,1.00194,0.77839,1.04928,0.82251,0.76712,0.82013,0.59122,1.13349,0.79478,1.18457,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,3858.48,1.00142,0.77942,1.04815,0.80317,0.76897,0.81336,0.5878,1.12721,0.79171,1.17882,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,4031.89,0.98529,0.75543,1.03827,0.80603,0.77221,0.81858,0.59254,1.13377,0.77065,1.19382,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
24,4203.96,0.98723,0.75505,1.04784,0.804,0.76875,0.81637,0.59003,1.12865,0.76241,1.18924,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
25,4377.8,0.97893,0.74648,1.03937,0.80566,0.78209,0.82212,0.59893,1.12282,0.77021,1.17895,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
26,4550.03,0.96662,0.73955,1.03659,0.76831,0.79171,0.82109,0.59621,1.12018,0.79008,1.17985,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
27,4725.8,0.98017,0.73266,1.03891,0.80363,0.7814,0.82274,0.5974,1.12784,0.77518,1.18021,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
28,4899.37,0.97548,0.74462,1.04492,0.80599,0.78588,0.82125,0.59592,1.11811,0.75496,1.18133,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
29,5074.28,0.98164,0.73181,1.03967,0.80582,0.7587,0.82262,0.60024,1.11908,0.75005,1.17793,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
30,5246.87,0.97339,0.73268,1.039,0.78139,0.78282,0.80523,0.58687,1.11558,0.75126,1.18,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,5419.46,0.96382,0.71983,1.03437,0.78784,0.75146,0.81088,0.59104,1.10852,0.75876,1.17185,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,5593.51,0.96706,0.71775,1.03693,0.7946,0.77072,0.82072,0.59422,1.11043,0.7455,1.17008,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,5767.62,0.95448,0.69223,1.02811,0.79505,0.78968,0.82111,0.60142,1.09919,0.73123,1.17046,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,5941.77,0.95077,0.69672,1.02963,0.81151,0.76786,0.81967,0.59988,1.10469,0.73676,1.16632,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,6114.75,0.95145,0.70324,1.02892,0.79517,0.77632,0.81801,0.59973,1.09708,0.74437,1.16416,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,6290.61,0.9502,0.69592,1.03418,0.8335,0.76416,0.8276,0.60544,1.10042,0.72215,1.17368,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,6463.54,0.95323,0.68911,1.0338,0.78102,0.7872,0.82768,0.60645,1.09388,0.71482,1.16467,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,6635.84,0.94841,0.68487,1.02808,0.81519,0.75657,0.82422,0.6017,1.10155,0.72447,1.16493,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,6808.83,0.93895,0.68378,1.02703,0.82233,0.76492,0.82874,0.60412,1.09832,0.72362,1.16704,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
40,6980.28,0.93909,0.68126,1.02529,0.80393,0.77454,0.82224,0.60159,1.10132,0.7074,1.17474,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,7147.7,0.94514,0.68274,1.03034,0.81391,0.76489,0.82533,0.60505,1.0929,0.71509,1.16254,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,7312.96,0.93306,0.67451,1.02502,0.81149,0.78422,0.82233,0.60385,1.08958,0.70483,1.1741,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,7480.5,0.93674,0.66739,1.02425,0.80401,0.77295,0.82859,0.60832,1.09314,0.71532,1.15838,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
44,7649.2,0.93107,0.66011,1.01687,0.82332,0.78395,0.82906,0.60824,1.0957,0.70233,1.16729,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
45,7816.35,0.93564,0.65866,1.02332,0.83116,0.78022,0.83457,0.61239,1.08887,0.70789,1.1638,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,7985.95,0.92352,0.6564,1.01839,0.80395,0.77209,0.83235,0.61095,1.10072,0.71693,1.17102,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
47,8151.64,0.92097,0.65425,1.01601,0.78923,0.79285,0.83292,0.61167,1.10174,0.70604,1.17423,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
48,8318.93,0.92094,0.65463,1.01831,0.8379,0.77286,0.83719,0.61368,1.08978,0.70195,1.1777,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086
49,8485.98,0.91601,0.64625,1.01587,0.81142,0.77718,0.83797,0.61747,1.08395,0.69867,1.17312,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
50,8653.53,0.91977,0.64513,1.01203,0.80834,0.77684,0.83018,0.61024,1.09518,0.71494,1.17442,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792
51,8822.38,0.92425,0.64768,1.01534,0.80122,0.77796,0.82566,0.60717,1.09963,0.70593,1.17452,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
52,8988.17,0.91465,0.63731,1.00738,0.81627,0.77925,0.83258,0.61373,1.08882,0.70351,1.16964,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498
53,9153.4,0.91524,0.63839,1.01194,0.80099,0.78604,0.83326,0.61644,1.07965,0.70087,1.16076,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
54,9318.98,0.90933,0.6392,1.01014,0.81829,0.78438,0.83131,0.61345,1.0769,0.69872,1.15818,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204
55,9483.52,0.90905,0.63297,1.01095,0.82872,0.78341,0.83756,0.61916,1.08622,0.70902,1.16044,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
56,9649.89,0.90689,0.63603,1.0137,0.81848,0.78602,0.83374,0.61982,1.09472,0.70799,1.17607,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
57,9816.85,0.91166,0.63778,1.01169,0.80436,0.79255,0.83833,0.6202,1.08881,0.69288,1.1665,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
58,9983.31,0.89943,0.62785,1.00597,0.81344,0.79242,0.83829,0.61676,1.0915,0.68964,1.17639,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615
59,10147.8,0.9027,0.62401,1.00698,0.82737,0.78768,0.8397,0.62051,1.08937,0.69305,1.16659,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
60,10314.6,0.89971,0.62538,1.00642,0.83334,0.78811,0.83672,0.61812,1.08206,0.69355,1.16452,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321
61,10481.9,0.89813,0.61578,1.00079,0.8157,0.79058,0.83564,0.61981,1.08756,0.68927,1.1689,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
62,10647.8,0.90025,0.62591,1.00654,0.81895,0.78489,0.83715,0.61867,1.09671,0.70004,1.16964,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027
63,10815.4,0.89112,0.61632,1.00727,0.83031,0.78385,0.8385,0.61767,1.08457,0.68941,1.1609,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
64,10981.9,0.90363,0.62217,1.0032,0.84112,0.78586,0.84474,0.62395,1.08517,0.67899,1.1667,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733
65,11150.3,0.89194,0.61817,1.00403,0.85253,0.76862,0.83768,0.62152,1.08849,0.68638,1.16489,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
66,11318.7,0.88855,0.61279,1.00398,0.84888,0.78069,0.84109,0.62111,1.0785,0.68723,1.16477,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
67,11484.5,0.8936,0.61075,1.00201,0.82905,0.79558,0.83864,0.62058,1.08386,0.67821,1.17115,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
68,11652.1,0.88165,0.60434,0.99708,0.80831,0.80182,0.83764,0.62109,1.07322,0.67746,1.15973,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144
69,11821.1,0.89587,0.61125,1.00521,0.82884,0.77914,0.83966,0.62346,1.08458,0.67901,1.16147,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
70,11988.8,0.8926,0.61409,1.00406,0.81381,0.78592,0.83253,0.61842,1.08028,0.68058,1.15945,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285
71,12157.9,0.88694,0.6098,0.99846,0.82772,0.79178,0.83895,0.62178,1.085,0.67838,1.16767,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
72,12322.2,0.88129,0.60391,0.99605,0.81278,0.79728,0.83163,0.61509,1.08528,0.68767,1.16875,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556
73,12487.9,0.87684,0.60459,0.99837,0.82311,0.78458,0.84103,0.62377,1.08309,0.68254,1.17193,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
74,12656.9,0.88097,0.6078,0.99819,0.83217,0.80187,0.84329,0.62122,1.08017,0.67671,1.17064,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262
75,12825.1,0.87369,0.59546,0.99173,0.81782,0.80284,0.84192,0.61991,1.08318,0.67923,1.17045,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
76,12993.9,0.88014,0.59756,1.00241,0.81846,0.78663,0.8377,0.62043,1.08405,0.68575,1.17025,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
77,13160.3,0.86989,0.59388,0.98905,0.82713,0.78291,0.83725,0.61996,1.07489,0.68666,1.16327,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
78,13328.9,0.87753,0.6013,0.99375,0.83125,0.79194,0.84086,0.62141,1.07883,0.68395,1.16434,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673
79,13495.3,0.86992,0.59619,0.99104,0.83674,0.78013,0.84032,0.62212,1.07924,0.67581,1.16656,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
80,13664.9,0.87465,0.58649,0.99214,0.82573,0.79304,0.8404,0.62154,1.07263,0.67543,1.15739,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379
81,13832.1,0.86693,0.59359,0.99119,0.84121,0.77922,0.84054,0.62323,1.07295,0.67469,1.1642,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
82,14000.5,0.86842,0.58682,0.99586,0.8271,0.79742,0.84167,0.6211,1.07974,0.6794,1.17305,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085
83,14169.9,0.87016,0.58692,0.99247,0.84537,0.78139,0.84153,0.62494,1.07894,0.6748,1.16982,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
84,14338.4,0.85658,0.5856,0.99095,0.83058,0.78595,0.84013,0.62307,1.07637,0.6756,1.17065,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791
85,14507.5,0.87215,0.5911,0.99429,0.80426,0.80443,0.83956,0.623,1.08049,0.67674,1.16966,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
86,14675.1,0.8586,0.58339,0.98567,0.81423,0.80017,0.83877,0.62129,1.07781,0.6736,1.17022,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
87,14841.2,0.8616,0.58516,0.98908,0.81925,0.8045,0.84113,0.62384,1.07559,0.66915,1.16942,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
88,15008.7,0.86417,0.58508,0.99228,0.83201,0.78934,0.84163,0.6249,1.07502,0.67134,1.16821,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202
89,15175.3,0.86378,0.58654,0.98964,0.81612,0.80474,0.8392,0.62123,1.07775,0.67559,1.1687,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
90,15340.7,0.86121,0.57686,0.98407,0.83211,0.79491,0.84084,0.62251,1.07842,0.66953,1.17118,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908
91,15510.5,0.85808,0.56405,0.9784,0.8327,0.78418,0.83704,0.6214,1.07367,0.67771,1.16805,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
92,15674.4,0.85503,0.55664,0.9795,0.82126,0.79498,0.83703,0.62136,1.07588,0.68015,1.1672,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614
93,15834.5,0.84935,0.55896,0.97959,0.80714,0.80501,0.84001,0.62367,1.07331,0.67347,1.1696,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
94,15994.6,0.84736,0.55157,0.97328,0.82644,0.78955,0.83792,0.62264,1.0727,0.67766,1.16454,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332
95,16157.5,0.8454,0.5537,0.97294,0.81147,0.80463,0.83966,0.62451,1.07133,0.67349,1.16652,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
96,16317.8,0.84752,0.55347,0.97653,0.84999,0.77478,0.84158,0.62549,1.07096,0.67161,1.16379,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
97,16478.3,0.84688,0.55399,0.97666,0.82626,0.78757,0.84091,0.62501,1.0725,0.66925,1.16884,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
98,16636.8,0.84055,0.55425,0.97631,0.81284,0.80775,0.83976,0.62472,1.0727,0.67454,1.16651,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05
99,16799.4,0.8385,0.54757,0.96825,0.80976,0.80284,0.84017,0.6246,1.07433,0.67187,1.16631,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
100,16958.8,0.83901,0.54613,0.97311,0.84914,0.77675,0.84065,0.62388,1.07324,0.66944,1.16733,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05
