epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,186.189,1.47441,3.26759,1.30348,0.33499,0.3983,0.32029,0.1874,1.48044,2.44649,1.42286,0.00141914,0.000473048,0.00141914,0.000473048,0.00141914,0.000473048,0.00141914,0.000473048
2,363.905,1.30896,1.74363,1.18505,0.46757,0.58949,0.5369,0.33651,1.36451,1.73149,1.32786,0.00281995,0.000939983,0.00281995,0.000939983,0.00281995,0.000939983,0.00281995,0.000939983
3,541.07,1.22326,1.39776,1.14075,0.6908,0.64346,0.67562,0.45307,1.27483,1.47016,1.26071,0.00419246,0.00139749,0.00419246,0.00139749,0.00419246,0.00139749,0.00419246,0.00139749
4,716.309,1.18124,1.22989,1.11709,0.71897,0.71651,0.756,0.5193,1.25597,1.36142,1.24754,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656
5,890.929,1.153,1.17033,1.10997,0.76322,0.71667,0.77762,0.53665,1.23217,1.29161,1.2374,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,1065.59,1.13004,1.08285,1.09551,0.77676,0.7175,0.78595,0.54002,1.23361,1.24414,1.2363,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,1245.55,1.12272,1.03993,1.09575,0.74265,0.75087,0.78386,0.54511,1.20382,1.18649,1.22322,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,1421.46,1.08897,0.98873,1.07789,0.74479,0.7485,0.79439,0.55872,1.19858,1.09512,1.21765,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,1601.16,1.09507,0.97234,1.08474,0.80227,0.74767,0.80226,0.56617,1.17146,1.02889,1.20356,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,1774.51,1.0639,0.92493,1.06698,0.77785,0.76995,0.80645,0.56829,1.17711,1.00381,1.2104,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
