epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.54,1.36675,1.54876,1.22787,0.75518,0.75152,0.78082,0.49498,1.38717,1.71583,1.32845,0.000662069,0.000662069,0.000662069
2,326.832,1.28572,1.07002,1.19651,0.71939,0.56584,0.65324,0.39323,1.5779,1.96676,1.56453,0.00131558,0.00131558,0.00131558
3,485.655,1.28878,0.97666,1.21065,0.7915,0.79721,0.8345,0.52716,1.39954,1.21081,1.35633,0.00195589,0.00195589,0.00195589
4,643.069,1.26553,0.90062,1.1962,0.8369,0.80393,0.8695,0.55867,1.39437,1.07302,1.34068,0.0019406,0.0019406,0.0019406
5,804.613,1.24162,0.87897,1.19018,0.79996,0.77269,0.83741,0.53992,1.40827,1.3973,1.3998,0.0019208,0.0019208,0.0019208
6,961.438,1.23531,0.84233,1.18844,0.82824,0.83045,0.88212,0.57906,1.34302,1.11511,1.33836,0.001901,0.001901,0.001901
7,1118.6,1.21043,0.82092,1.1757,0.81963,0.82535,0.87864,0.5817,1.3122,1.00295,1.30729,0.0018812,0.0018812,0.0018812
8,1273.55,1.18663,0.78825,1.15825,0.85729,0.83232,0.89505,0.59996,1.31456,0.87743,1.31353,0.0018614,0.0018614,0.0018614
9,1432.45,1.18816,0.77809,1.16652,0.84472,0.82618,0.89351,0.60242,1.29469,0.93964,1.3078,0.0018416,0.0018416,0.0018416
10,1589.17,1.16378,0.75356,1.1499,0.83669,0.85274,0.89673,0.60992,1.274,0.89654,1.29728,0.0018218,0.0018218,0.0018218
11,1748.86,1.15656,0.75185,1.15134,0.86286,0.85248,0.90955,0.61646,1.26969,0.82587,1.29637,0.001802,0.001802,0.001802
12,1907.75,1.15166,0.74515,1.15065,0.8507,0.85398,0.90434,0.60988,1.29529,0.83371,1.3131,0.0017822,0.0017822,0.0017822
13,2066.41,1.13441,0.73635,1.14463,0.84126,0.848,0.89188,0.60016,1.27698,0.88207,1.3115,0.0017624,0.0017624,0.0017624
14,2222.88,1.12976,0.71902,1.13662,0.8335,0.81738,0.87748,0.59482,1.28933,0.93295,1.31419,0.0017426,0.0017426,0.0017426
15,2381.52,1.115,0.71128,1.13041,0.83638,0.86381,0.89264,0.61389,1.2268,0.83142,1.2618,0.0017228,0.0017228,0.0017228
16,2537.47,1.11039,0.7011,1.1226,0.8679,0.85059,0.91204,0.62985,1.22185,0.78824,1.25759,0.001703,0.001703,0.001703
17,2693.5,1.11415,0.7161,1.13786,0.85716,0.86269,0.90738,0.62205,1.21866,0.76798,1.24786,0.0016832,0.0016832,0.0016832
18,2852.17,1.10109,0.69614,1.12639,0.86512,0.8631,0.91144,0.6288,1.22065,0.76607,1.25197,0.0016634,0.0016634,0.0016634
19,3006.89,1.09319,0.69329,1.12416,0.8541,0.85609,0.91072,0.62838,1.22134,0.7782,1.25865,0.0016436,0.0016436,0.0016436
20,3164.15,1.0867,0.6874,1.12314,0.85508,0.87414,0.91779,0.63957,1.20845,0.72911,1.26262,0.0016238,0.0016238,0.0016238
21,3321.62,1.07648,0.6736,1.1143,0.85046,0.86655,0.91036,0.63381,1.20344,0.76826,1.25086,0.001604,0.001604,0.001604
22,3480.52,1.0856,0.68008,1.11959,0.85999,0.87016,0.91486,0.64145,1.19485,0.75345,1.24714,0.0015842,0.0015842,0.0015842
23,3638.79,1.06606,0.66888,1.10596,0.86377,0.86929,0.91763,0.6441,1.18904,0.74236,1.25267,0.0015644,0.0015644,0.0015644
24,3794.43,1.06759,0.66587,1.11778,0.85017,0.87751,0.91275,0.63706,1.18647,0.76032,1.25096,0.0015446,0.0015446,0.0015446
25,3951.14,1.05356,0.65894,1.10184,0.84415,0.87352,0.91272,0.63593,1.19549,0.73259,1.2448,0.0015248,0.0015248,0.0015248
26,4106.81,1.04214,0.64788,1.10049,0.85479,0.85152,0.91089,0.64519,1.17316,0.74733,1.23796,0.001505,0.001505,0.001505
27,4265.87,1.05375,0.65068,1.10389,0.86438,0.87464,0.91572,0.63942,1.18516,0.69878,1.23899,0.0014852,0.0014852,0.0014852
28,4422.44,1.05269,0.66046,1.10978,0.85941,0.85721,0.9063,0.62647,1.20069,0.73672,1.25135,0.0014654,0.0014654,0.0014654
29,4580.96,1.05662,0.65518,1.10139,0.85398,0.88092,0.91442,0.64613,1.16497,0.69309,1.22462,0.0014456,0.0014456,0.0014456
30,4738.23,1.0491,0.654,1.10113,0.86195,0.86605,0.91768,0.6459,1.1827,0.71439,1.24182,0.0014258,0.0014258,0.0014258
31,4894.7,1.03969,0.64933,1.09422,0.86597,0.8739,0.91763,0.64919,1.18822,0.70665,1.24182,0.001406,0.001406,0.001406
32,5052.79,1.03855,0.64434,1.09612,0.86389,0.85889,0.91316,0.64425,1.16423,0.72069,1.21564,0.0013862,0.0013862,0.0013862
33,5209.09,1.02822,0.62538,1.089,0.86413,0.87642,0.91934,0.65099,1.14029,0.68499,1.21302,0.0013664,0.0013664,0.0013664
34,5365.66,1.02257,0.62763,1.09091,0.86457,0.87975,0.92179,0.65119,1.17246,0.70006,1.22004,0.0013466,0.0013466,0.0013466
35,5522.41,1.02905,0.63691,1.09458,0.85316,0.87638,0.91522,0.65068,1.13488,0.70687,1.20278,0.0013268,0.0013268,0.0013268
36,5681.93,1.02505,0.63216,1.09617,0.87042,0.87912,0.9219,0.65501,1.14584,0.67867,1.2078,0.001307,0.001307,0.001307
37,5838.93,1.02259,0.62597,1.08994,0.8744,0.86655,0.92268,0.6551,1.14999,0.66383,1.21236,0.0012872,0.0012872,0.0012872
38,5993.88,1.01915,0.62258,1.08966,0.86857,0.87614,0.92358,0.65851,1.1527,0.65678,1.23764,0.0012674,0.0012674,0.0012674
39,6151.37,1.01128,0.62506,1.08808,0.87388,0.86516,0.92352,0.6586,1.1428,0.66236,1.20909,0.0012476,0.0012476,0.0012476
40,6307.38,1.01832,0.62724,1.08763,0.86594,0.879,0.92249,0.65511,1.13602,0.66164,1.21026,0.0012278,0.0012278,0.0012278
41,6462.85,1.00403,0.61485,1.07948,0.87763,0.87849,0.92132,0.65662,1.1316,0.66865,1.19573,0.001208,0.001208,0.001208
42,6617.25,1.00235,0.60963,1.07973,0.86968,0.87399,0.91807,0.65695,1.13037,0.65061,1.20462,0.0011882,0.0011882,0.0011882
43,6771.6,1.00176,0.60913,1.07702,0.87035,0.87937,0.92021,0.65897,1.13833,0.67485,1.20824,0.0011684,0.0011684,0.0011684
44,6927.54,1.00135,0.6076,1.07718,0.87618,0.88087,0.92237,0.65739,1.12941,0.65222,1.21163,0.0011486,0.0011486,0.0011486
45,7081.97,1.00418,0.61327,1.07983,0.87218,0.88429,0.92418,0.6601,1.13249,0.65087,1.208,0.0011288,0.0011288,0.0011288
46,7238.37,0.98849,0.60329,1.07331,0.87339,0.87763,0.9197,0.65992,1.13245,0.66085,1.20774,0.001109,0.001109,0.001109
47,7393.12,0.98585,0.59917,1.06974,0.87549,0.88609,0.92582,0.66736,1.1119,0.64257,1.19613,0.0010892,0.0010892,0.0010892
48,7548.9,0.98408,0.59551,1.07123,0.87714,0.88572,0.92472,0.66315,1.11979,0.64571,1.19936,0.0010694,0.0010694,0.0010694
49,7704.52,0.97206,0.5883,1.06522,0.86014,0.8751,0.92083,0.66572,1.11178,0.66447,1.19791,0.0010496,0.0010496,0.0010496
50,7863.39,0.98202,0.59171,1.06486,0.87452,0.87589,0.92726,0.6658,1.11118,0.6379,1.19659,0.0010298,0.0010298,0.0010298
51,8019.3,0.98858,0.59297,1.07063,0.87047,0.8767,0.91995,0.65635,1.12637,0.66339,1.20022,0.00101,0.00101,0.00101
52,8174.22,0.97005,0.58462,1.05564,0.87866,0.8762,0.92121,0.66346,1.11277,0.63305,1.19463,0.0009902,0.0009902,0.0009902
53,8329.75,0.97349,0.58876,1.06284,0.86712,0.89381,0.92787,0.66855,1.11583,0.63168,1.19931,0.0009704,0.0009704,0.0009704
54,8485.69,0.96712,0.58409,1.06398,0.87214,0.89073,0.92127,0.66374,1.09813,0.62819,1.18819,0.0009506,0.0009506,0.0009506
55,8642.8,0.96399,0.57872,1.05697,0.87352,0.88958,0.92693,0.66882,1.10171,0.6385,1.18026,0.0009308,0.0009308,0.0009308
56,8799.26,0.96712,0.58452,1.06154,0.88016,0.88236,0.92222,0.66132,1.11953,0.63396,1.18414,0.000911,0.000911,0.000911
57,8955.11,0.97116,0.58498,1.06024,0.87454,0.88164,0.92155,0.6602,1.11246,0.63485,1.19807,0.0008912,0.0008912,0.0008912
58,9110.78,0.95652,0.57419,1.05443,0.8817,0.88933,0.92882,0.67002,1.11271,0.60424,1.19264,0.0008714,0.0008714,0.0008714
59,9266.85,0.96133,0.57554,1.05666,0.87727,0.88273,0.92448,0.66817,1.09599,0.62315,1.18064,0.0008516,0.0008516,0.0008516
60,9423.41,0.95165,0.56998,1.05306,0.8789,0.88485,0.92505,0.66608,1.10095,0.62689,1.18921,0.0008318,0.0008318,0.0008318
61,9578.97,0.9535,0.56555,1.04764,0.87872,0.88033,0.92346,0.66882,1.09407,0.62373,1.17399,0.000812,0.000812,0.000812
62,9734.52,0.9529,0.56955,1.05248,0.88154,0.88375,0.92825,0.67042,1.09385,0.61071,1.18339,0.0007922,0.0007922,0.0007922
63,9891.24,0.94709,0.56258,1.05512,0.87537,0.88664,0.92503,0.67086,1.089,0.62554,1.17874,0.0007724,0.0007724,0.0007724
64,10046.9,0.95317,0.56373,1.0497,0.87739,0.88901,0.93151,0.67669,1.08225,0.60128,1.17129,0.0007526,0.0007526,0.0007526
65,10204.1,0.94026,0.56296,1.04617,0.88449,0.87638,0.91965,0.66473,1.08973,0.60902,1.18432,0.0007328,0.0007328,0.0007328
66,10360.2,0.9351,0.56048,1.04632,0.88497,0.88074,0.92462,0.67583,1.08941,0.61165,1.17583,0.000713,0.000713,0.000713
67,10516.3,0.94372,0.55334,1.04562,0.87607,0.88236,0.92436,0.67202,1.08379,0.621,1.1779,0.0006932,0.0006932,0.0006932
68,10673.6,0.92568,0.55064,1.03973,0.88267,0.8841,0.92968,0.67626,1.09033,0.59221,1.18584,0.0006734,0.0006734,0.0006734
69,10830,0.94588,0.56316,1.05038,0.88501,0.88336,0.93016,0.67514,1.08928,0.59808,1.16981,0.0006536,0.0006536,0.0006536
70,10985.6,0.93742,0.55738,1.04699,0.87836,0.89622,0.92484,0.67203,1.08521,0.60345,1.17533,0.0006338,0.0006338,0.0006338
71,11143.4,0.93406,0.55535,1.04123,0.87534,0.89792,0.92884,0.67562,1.09177,0.60073,1.18153,0.000614,0.000614,0.000614
72,11298.1,0.918,0.54602,1.03225,0.88264,0.89257,0.92699,0.67585,1.08158,0.58882,1.16923,0.0005942,0.0005942,0.0005942
73,11453.6,0.91731,0.54535,1.03708,0.88719,0.88402,0.92497,0.66968,1.09011,0.60244,1.18808,0.0005744,0.0005744,0.0005744
74,11610.5,0.92696,0.54826,1.04135,0.88701,0.89123,0.92844,0.67643,1.07318,0.59258,1.17298,0.0005546,0.0005546,0.0005546
75,11767.3,0.91064,0.53676,1.02993,0.88007,0.89888,0.92819,0.67678,1.07788,0.59422,1.17729,0.0005348,0.0005348,0.0005348
76,11925.1,0.92195,0.54664,1.0454,0.88348,0.89761,0.9285,0.67693,1.07329,0.59845,1.17257,0.000515,0.000515,0.000515
77,12083.9,0.90583,0.53675,1.02461,0.88462,0.88697,0.92729,0.67689,1.06816,0.58866,1.17132,0.0004952,0.0004952,0.0004952
78,12240.2,0.916,0.54184,1.03263,0.88316,0.89008,0.92631,0.67864,1.06787,0.59537,1.17129,0.0004754,0.0004754,0.0004754
79,12395.8,0.90698,0.53692,1.02988,0.88109,0.89854,0.92783,0.67827,1.06836,0.58742,1.16777,0.0004556,0.0004556,0.0004556
80,12552.6,0.90687,0.53295,1.03203,0.8801,0.89705,0.92869,0.67869,1.07634,0.59048,1.18407,0.0004358,0.0004358,0.0004358
81,12707.5,0.90113,0.53031,1.02723,0.88227,0.89464,0.92593,0.67637,1.06534,0.59171,1.16807,0.000416,0.000416,0.000416
82,12866.3,0.90334,0.52788,1.03691,0.88209,0.89307,0.92776,0.67444,1.07433,0.59544,1.17218,0.0003962,0.0003962,0.0003962
83,13023.3,0.90251,0.52711,1.02855,0.88044,0.89564,0.92714,0.67825,1.06688,0.58855,1.16875,0.0003764,0.0003764,0.0003764
84,13177.6,0.89125,0.52593,1.02875,0.88927,0.88377,0.92533,0.67576,1.07521,0.58594,1.17412,0.0003566,0.0003566,0.0003566
85,13335.4,0.90712,0.5342,1.03155,0.87971,0.88855,0.92609,0.67483,1.07705,0.5939,1.17518,0.0003368,0.0003368,0.0003368
86,13490.9,0.89053,0.52263,1.01999,0.88311,0.8897,0.92541,0.6753,1.07035,0.5968,1.17252,0.000317,0.000317,0.000317
