epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3684,1.30938,1.40126,1.11658,0.7435,0.61142,0.70496,0.43297,1.33012,1.48632,1.43634,0.000661578,0.000661578,0.000661578
2,101.387,1.23712,0.98418,1.0968,0.75569,0.72933,0.76316,0.47749,1.407,1.55674,1.44382,0.00130195,0.00130195,0.00130195
3,150.853,1.24357,0.96137,1.10774,0.76778,0.75982,0.79316,0.48966,1.32724,1.22729,1.36901,0.00191591,0.00191591,0.00191591
4,197.916,1.20597,0.8962,1.09383,0.79752,0.77954,0.82093,0.52317,1.26718,1.0243,1.29905,0.0018812,0.0018812,0.0018812
5,245.343,1.15139,0.83167,1.07083,0.80425,0.79291,0.83486,0.53141,1.22385,0.84221,1.27659,0.0018416,0.0018416,0.0018416
6,293.838,1.15876,0.80895,1.07367,0.79877,0.8053,0.84651,0.55529,1.17778,0.78744,1.26116,0.001802,0.001802,0.001802
7,341.16,1.14469,0.80487,1.07253,0.80845,0.81757,0.85229,0.55334,1.15723,0.84223,1.22646,0.0017624,0.0017624,0.0017624
8,389.334,1.12171,0.77323,1.06392,0.81383,0.78238,0.84402,0.55549,1.16309,0.8245,1.23169,0.0017228,0.0017228,0.0017228
9,437.501,1.10919,0.75782,1.05017,0.82772,0.80621,0.84755,0.56935,1.13263,0.72639,1.22389,0.0016832,0.0016832,0.0016832
10,484.026,1.0952,0.74543,1.05335,0.81939,0.80233,0.85724,0.57321,1.12868,0.74508,1.21221,0.0016436,0.0016436,0.0016436
11,531.466,1.07831,0.73015,1.04633,0.82281,0.82154,0.86541,0.5808,1.10905,0.70651,1.23067,0.001604,0.001604,0.001604
12,578.592,1.0698,0.72673,1.04259,0.82487,0.82216,0.86272,0.57921,1.14634,0.72101,1.25701,0.0015644,0.0015644,0.0015644
13,624.983,1.05534,0.70426,1.0379,0.83377,0.82179,0.86646,0.5809,1.10923,0.65422,1.20104,0.0015248,0.0015248,0.0015248
14,672.561,1.03667,0.68691,1.02386,0.82154,0.83083,0.86706,0.58522,1.10708,0.67431,1.20448,0.0014852,0.0014852,0.0014852
15,718.844,1.03471,0.68168,1.03422,0.83885,0.80766,0.86918,0.59997,1.07056,0.64515,1.20747,0.0014456,0.0014456,0.0014456
16,764.888,1.02017,0.67507,1.02819,0.82921,0.83133,0.87034,0.59556,1.08355,0.63748,1.21252,0.001406,0.001406,0.001406
17,812.002,1.02145,0.67899,1.02549,0.8238,0.83435,0.87084,0.59264,1.06981,0.6351,1.18862,0.0013664,0.0013664,0.0013664
18,858.856,1.01392,0.67188,1.02,0.82794,0.83976,0.87419,0.60778,1.05659,0.62542,1.17554,0.0013268,0.0013268,0.0013268
19,905.686,1.00172,0.65862,1.01767,0.82599,0.82513,0.87193,0.59699,1.09583,0.67674,1.22103,0.0012872,0.0012872,0.0012872
20,952.008,0.99627,0.65149,1.02292,0.83516,0.83579,0.87047,0.60079,1.06726,0.65331,1.19669,0.0012476,0.0012476,0.0012476
21,998.63,0.98592,0.64006,1.00939,0.83,0.84168,0.87815,0.6111,1.04587,0.59595,1.17627,0.001208,0.001208,0.001208
22,1046.71,0.97886,0.638,1.00972,0.82799,0.84608,0.87954,0.61042,1.07244,0.61104,1.20272,0.0011684,0.0011684,0.0011684
23,1093.09,0.97004,0.62918,1.00685,0.82957,0.84334,0.8816,0.61508,1.04089,0.59742,1.16726,0.0011288,0.0011288,0.0011288
24,1143.56,0.9762,0.63696,1.00646,0.83561,0.83279,0.87898,0.61827,1.03334,0.59975,1.17739,0.0010892,0.0010892,0.0010892
25,1191.3,0.97448,0.63269,1.01165,0.84162,0.83542,0.88213,0.62062,1.03472,0.59059,1.17492,0.0010496,0.0010496,0.0010496
26,1239.33,0.96264,0.63055,1.01155,0.83521,0.83877,0.88115,0.6201,1.00281,0.58926,1.16011,0.00101,0.00101,0.00101
27,1288.59,0.9711,0.62916,1.01044,0.83714,0.83708,0.88401,0.62269,1.03065,0.58822,1.17213,0.0009704,0.0009704,0.0009704
28,1337.02,0.95203,0.61668,1.00548,0.83552,0.84236,0.88128,0.62249,1.01709,0.58703,1.15829,0.0009308,0.0009308,0.0009308
29,1385.39,0.95954,0.61942,1.00687,0.84247,0.83778,0.88387,0.62152,1.01726,0.58034,1.16742,0.0008912,0.0008912,0.0008912
30,1433.27,0.94299,0.61173,1.00005,0.83731,0.8379,0.88428,0.62978,1.00387,0.56816,1.15925,0.0008516,0.0008516,0.0008516
31,1482.42,0.93488,0.60038,0.99368,0.83679,0.84186,0.88526,0.63141,0.98816,0.56464,1.14619,0.000812,0.000812,0.000812
32,1531.29,0.92946,0.60566,0.99615,0.83694,0.84222,0.88232,0.62643,0.9909,0.58326,1.16184,0.0007724,0.0007724,0.0007724
33,1579.65,0.92614,0.60065,0.9969,0.83652,0.84818,0.88845,0.63098,0.99104,0.55903,1.15629,0.0007328,0.0007328,0.0007328
34,1627.59,0.92557,0.59842,0.99703,0.83379,0.85046,0.88433,0.62882,0.9995,0.57314,1.166,0.0006932,0.0006932,0.0006932
35,1674.87,0.91516,0.58598,0.98243,0.83641,0.85165,0.8887,0.63568,0.98168,0.55371,1.15382,0.0006536,0.0006536,0.0006536
