epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.6134,1.37207,2.94,1.25652,0.03952,0.53119,0.07701,0.04938,1.18965,2.80141,1.1892,0.000204613,0.000204613,0.000204613
2,115.683,1.31006,1.7961,1.23574,0.66137,0.14346,0.13405,0.07831,1.27039,1.83651,1.27096,0.00040477,0.00040477,0.00040477
3,138.21,1.29097,1.5678,1.216,0.32922,0.27814,0.15299,0.09013,1.28621,1.24195,1.35918,0.000596677,0.000596677,0.000596677
4,160.131,1.26312,1.47567,1.22044,0.47065,0.28576,0.27062,0.18254,1.28251,1.10274,1.31579,0.000587875,0.000587875,0.000587875
5,182.401,1.25176,1.41509,1.20302,0.32852,0.4011,0.27729,0.18764,1.22444,1.06142,1.23391,0.0005755,0.0005755,0.0005755
6,204.409,1.21117,1.37808,1.17873,0.46154,0.33177,0.29693,0.2018,1.20268,1.04379,1.26704,0.000563125,0.000563125,0.000563125
7,225.404,1.22317,1.33102,1.18395,0.34455,0.38631,0.26036,0.17418,1.21079,1.05809,1.23008,0.00055075,0.00055075,0.00055075
8,246.755,1.19767,1.23474,1.16655,0.50446,0.35254,0.31097,0.20987,1.20395,0.9638,1.23353,0.000538375,0.000538375,0.000538375
9,267.684,1.20912,1.27018,1.19031,0.47202,0.30767,0.2398,0.15431,1.20102,0.94941,1.21682,0.000526,0.000526,0.000526
10,288.369,1.16498,1.2053,1.155,0.46221,0.32602,0.2791,0.19036,1.22878,0.90865,1.24004,0.000513625,0.000513625,0.000513625
11,309.734,1.18117,1.15358,1.15706,0.47512,0.37902,0.32877,0.22283,1.20942,0.92965,1.21851,0.00050125,0.00050125,0.00050125
12,330.65,1.16839,1.14695,1.16342,0.30767,0.42336,0.27505,0.18221,1.21049,0.94033,1.22878,0.000488875,0.000488875,0.000488875
13,351.701,1.18172,1.15224,1.15819,0.39573,0.45713,0.31059,0.20174,1.19323,0.92763,1.19718,0.0004765,0.0004765,0.0004765
14,371.364,1.12369,1.0944,1.13896,0.27801,0.53947,0.34111,0.23167,1.16889,1.0027,1.2101,0.000464125,0.000464125,0.000464125
15,393.648,1.13967,1.08335,1.13801,0.51201,0.41637,0.32091,0.2091,1.20923,0.87801,1.2344,0.00045175,0.00045175,0.00045175
16,413.893,1.11717,1.04876,1.14037,0.31362,0.42463,0.27156,0.17745,1.15355,0.89074,1.19345,0.000439375,0.000439375,0.000439375
17,435.224,1.14762,1.05994,1.15061,0.23311,0.47526,0.2881,0.18885,1.17459,0.87869,1.21339,0.000427,0.000427,0.000427
18,455.364,1.12805,1.02942,1.14279,0.46058,0.41278,0.30559,0.20582,1.16899,0.84637,1.19976,0.000414625,0.000414625,0.000414625
19,477.099,1.09484,0.991,1.1219,0.31907,0.50339,0.40676,0.28662,1.15406,0.84795,1.20038,0.00040225,0.00040225,0.00040225
20,497.005,1.10071,1.00691,1.13399,0.64834,0.32104,0.34019,0.22806,1.18073,0.87197,1.20366,0.000389875,0.000389875,0.000389875
21,518.392,1.10336,0.96145,1.11376,0.31432,0.59122,0.41781,0.28214,1.16206,0.83602,1.20219,0.0003775,0.0003775,0.0003775
22,538.95,1.08186,0.95865,1.11895,0.27118,0.56971,0.41539,0.28968,1.15479,0.82058,1.18933,0.000365125,0.000365125,0.000365125
23,560.957,1.09968,0.95158,1.11144,0.37487,0.54406,0.42026,0.28616,1.14596,0.85106,1.18344,0.00035275,0.00035275,0.00035275
24,580.668,1.08453,0.93739,1.10708,0.33669,0.52167,0.42703,0.30031,1.15985,0.80329,1.1955,0.000340375,0.000340375,0.000340375
25,601.652,1.06666,0.90877,1.1014,0.24023,0.51352,0.33568,0.22247,1.1672,0.85755,1.18559,0.000328,0.000328,0.000328
26,622.585,1.06151,0.91687,1.09641,0.57353,0.392,0.38736,0.25723,1.15851,0.80825,1.19375,0.000315625,0.000315625,0.000315625
